Experiment,Model,Threshold,Balanced-Accuracy,Specificity,Sensitivity,FPR,FNR,TN,FP,FN,TP,ROC-AUC,PR-AUC,Balanced-Accuracy_pct,Specificity_pct,Sensitivity_pct,FPR_pct,FNR_pct,ROC-AUC_pct,PR-AUC_pct
P1: with summarized transaction,AAE,0.999999642372131,0.8646675651392632,0.8928571428571429,0.8364779874213837,0.10714285714285714,0.16352201257861634,250,30,26,133,0.9008760107816712,0.7866902418720598,86.46675651392633,89.28571428571429,83.64779874213836,10.714285714285714,16.352201257861633,90.08760107816713,78.66902418720598
P1: without summarized transaction,AAE,0.5,0.5004267744833782,0.007142857142857143,0.9937106918238994,0.9928571428571429,0.006289308176100629,2,278,1,158,0.32192273135669364,0.27853985776666335,50.04267744833783,0.7142857142857143,99.37106918238993,99.28571428571429,0.628930817610063,32.19227313566936,27.853985776666335
P1: with summarized transaction,RF,0.0016576434940089,0.8302672955974842,0.975,0.6855345911949685,0.025,0.31446540880503143,273,7,50,109,0.8324460916442048,0.7710251108239023,83.02672955974842,97.5,68.55345911949685,2.5,31.446540880503143,83.24460916442048,77.10251108239024
P1: without summarized transaction,RF,0.5,0.4982142857142857,0.9964285714285714,0.0,0.0035714285714285713,1.0,279,1,159,0,0.6973944294699012,0.6314127563840849,49.82142857142857,99.64285714285714,0.0,0.35714285714285715,100.0,69.73944294699011,63.14127563840849
P1: with summarized transaction,ET,0.0143357727971129,0.9030997304582211,0.9571428571428572,0.8490566037735849,0.04285714285714286,0.1509433962264151,268,12,24,135,0.8732816711590298,0.8735028153925205,90.30997304582212,95.71428571428572,84.90566037735849,4.285714285714286,15.09433962264151,87.32816711590297,87.35028153925205
P1: without summarized transaction,ET,0.5,0.5,1.0,0.0,0.0,1.0,280,0,159,0,0.6295372866127582,0.5749906870947004,50.0,100.0,0.0,0.0,100.0,62.95372866127582,57.49906870947004
P1: with summarized transaction,XGB,0.0001840714830905,0.8662174303683738,0.9714285714285714,0.7610062893081762,0.02857142857142857,0.2389937106918239,272,8,38,121,0.9217654986522912,0.8861720772605293,86.62174303683739,97.14285714285714,76.10062893081762,2.857142857142857,23.89937106918239,92.17654986522912,88.61720772605292
P1: without summarized transaction,XGB,0.5,0.5,1.0,0.0,0.0,1.0,280,0,159,0,0.6250898472596587,0.650455047634074,50.0,100.0,0.0,0.0,100.0,62.50898472596587,65.04550476340741
P1: with summarized transaction,PU,0.0009032187159518,0.8902515723270441,0.9,0.8805031446540881,0.1,0.11949685534591195,252,28,19,140,0.8987646001796945,0.862085974782633,89.02515723270442,90.0,88.0503144654088,10.0,11.949685534591195,89.87646001796945,86.2085974782633
P1: without summarized transaction,PU,0.5,0.6505166217430368,0.9928571428571429,0.3081761006289308,0.007142857142857143,0.6918238993710691,278,2,110,49,0.43944294699011677,0.5178406747858335,65.05166217430369,99.28571428571429,30.81761006289308,0.7142857142857143,69.18238993710692,43.94429469901168,51.78406747858335
